phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
458,Hypotension,458-459.99,Both,1,0,8,circulatory system,red, other circulatory symptoms/findings/disorders,5829,387859
458.1,Orthostatic hypotension,458-459.99,Both,1,1,8,circulatory system,red, other circulatory symptoms/findings/disorders,1347,387859
458.2,Iatrogenic hypotension,458-459.99,Both,1,1,8,circulatory system,red, other circulatory symptoms/findings/disorders,235,387859
458.9,Hypotension NOS,458-459.99,Both,1,1,8,circulatory system,red, other circulatory symptoms/findings/disorders,3520,387859
459,Other disorders of circulatory system,458-459.99,Both,1,0,8,circulatory system,red, other circulatory symptoms/findings/disorders,16589,387859
459.1,Hemorrhage NOS,458-459.99,Both,1,1,8,circulatory system,red, other circulatory symptoms/findings/disorders,142,387859
459.7,Blood vessel replaced,458-459.99,Both,1,1,8,circulatory system,red, other circulatory symptoms/findings/disorders,17,387859
459.9,Circulatory disease NEC,458-459.99,Both,1,1,8,circulatory system,red, other circulatory symptoms/findings/disorders,16374,387859
464,Acute sinusitis,460-469.99,Both,1,1,9,respiratory,coral4, acute upper respiratory infections,196,406444
465,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,Both,1,0,9,respiratory,coral4, acute upper respiratory infections,2336,406444
465.2,Acute pharyngitis,460-469.99,Both,1,1,9,respiratory,coral4, acute upper respiratory infections,870,406444
465.4,Acute laryngitis and tracheitis,460-469.99,Both,1,1,9,respiratory,coral4, acute upper respiratory infections,166,406444
470,Septal Deviations/Turbinate Hypertrophy,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,4939,390040
471,Nasal polyps,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,3311,390040
472,Chronic pharyngitis and nasopharyngitis,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,966,390040
473,Diseases of the larynx and vocal cords,470-479.99,Both,1,0,9,respiratory,coral4, other/chronic upper respiratory disease,2630,390040
473.1,Chronic laryngitis,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,104,390040
473.3,Paralysis/spasm of vocal cords or larynx,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,266,390040
473.4,Voice disturbance,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,1086,390040
474,Acute and chronic tonsillitis,470-479.99,Both,1,0,9,respiratory,coral4, other/chronic upper respiratory disease,2013,390040
474.1,Acute tonsillitis,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,614,390040
474.2,Chronic tonsillitis and adenoiditis,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,1126,390040
475,Chronic sinusitis,470-479.99,Both,1,0,9,respiratory,coral4, other/chronic upper respiratory disease,2602,390040
476,Allergic rhinitis,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,1060,390040
477,Epistaxis or throat hemorrhage,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,2456,390040
478,Throat pain,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,380,390040
479,Other upper respiratory disease,470-479.99,Both,1,1,9,respiratory,coral4, other/chronic upper respiratory disease,4105,390040
480,Pneumonia,480-488.99,Both,1,0,9,respiratory,coral4, Pneumonia and influenza,10543,398052
480.1,Bacterial pneumonia,480-488.99,Both,1,0,9,respiratory,coral4, Pneumonia and influenza,6732,398052
480.11,Pneumococcal pneumonia,480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,5970,398052
480.12,Pseudomonal pneumonia,480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,93,398052
480.2,Viral pneumonia,480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,73,398052
480.3,Pneumonia due to fungus (mycoses),480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,101,398052
480.5,Bronchopneumonia and lung abscess,480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,802,398052
481,Influenza,480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,331,398052
483,Acute bronchitis and bronchiolitis,480-488.99,Both,1,1,9,respiratory,coral4, Pneumonia and influenza,194,398052
495,Asthma,490-498.99,Both,1,0,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",26344,375408
495.2,Asthma with exacerbation,490-498.99,Both,1,1,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",252,375408
496,Chronic airway obstruction,490-498.99,Both,1,0,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",10604,375408
496.1,Emphysema,490-498.99,Both,1,1,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",1759,375408
496.2,Chronic bronchitis,490-498.99,Both,1,0,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",2979,375408
496.21,Obstructive chronic bronchitis,490-498.99,Both,1,1,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",2735,375408
496.3,Bronchiectasis,490-498.99,Both,1,1,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",1895,375408
497,Bronchitis,490-498.99,Both,1,1,9,respiratory,coral4," chronic obstructive pulmonary disease, bronchiectasis, asthma",634,375408
499,Cystic fibrosis,499-499.99,Both,1,1,9,respiratory,coral4, Cystic fibrosis (move?),28,408931
500,Lung disease due to external agents,500-509.99,Both,1,0,9,respiratory,coral4, Pneumoconioses and other lung diseases,413,397223
500.1,Extrinsic allergic alveolitis,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,79,397223
500.2,Pneumoconiosis,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,244,397223
501,Pneumonitis due to inhalation of food or vomitus,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,658,397223
502,Postinflammatory pulmonary fibrosis,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,926,397223
503,Pulmonary congestion and hypostasis,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,515,397223
504,Other alveolar and parietoalveolar pneumonopathy,500-509.99,Both,1,0,9,respiratory,coral4, Pneumoconioses and other lung diseases,330,397223
505,Other pulmonary inflamation or edema,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,61,397223
506,Empyema and pneumothorax,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,1183,397223
507,Pleurisy; pleural effusion,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,6464,397223
508,Pulmonary collapse; interstitial and compensatory emphysema,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,2006,397223
509,"Respiratory failure, insufficiency, arrest",500-509.99,Both,1,0,9,respiratory,coral4, Pneumoconioses and other lung diseases,2654,397223
509.1,Respiratory failure,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,2082,397223
509.2,Respiratory insufficiency,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,1821,397223
509.3,Pulmonary insufficiency or respiratory failure following trauma and surgery,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,14,397223
509.5,Respiratory arrest,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,145,397223
509.8,Dependence on respirator [Ventilator] or supplemental oxygen,500-509.99,Both,1,1,9,respiratory,coral4, Pneumoconioses and other lung diseases,391,397223
510,Other diseases of lung,510-510.99,Both,1,1,9,respiratory,coral4, Other diseases of the lung,757,408167
510.2,Lung transplant,510-510.99,Both,0,1,9,respiratory,coral4, Other diseases of the lung,39,408167
512,Other symptoms of respiratory system,512-512.99,Both,1,0,9,respiratory,coral4, Other symptoms of respiratory system,9132,399827
512.1,Wheezing,512-512.99,Both,1,1,9,respiratory,coral4, Other symptoms of respiratory system,221,399827
512.2,Painful respiration,512-512.99,Both,1,1,9,respiratory,coral4, Other symptoms of respiratory system,209,399827
512.7,Shortness of breath,512-512.99,Both,1,1,9,respiratory,coral4, Other symptoms of respiratory system,5887,399827
512.8,Cough,512-512.99,Both,1,1,9,respiratory,coral4, Other symptoms of respiratory system,2884,399827
512.9,Other dyspnea,512-512.99,Both,1,1,9,respiratory,coral4, Other symptoms of respiratory system,915,399827
513,Respiratory abnormalities,513-513.99,Both,1,0,9,respiratory,coral4, Respiratory abnormalities,614,408345
513.3,Hypoventilation,513-513.99,Both,1,0,9,respiratory,coral4, Respiratory abnormalities,83,408345
513.31,Apnea,513-513.99,Both,1,1,9,respiratory,coral4, Respiratory abnormalities,4,408345
513.4,Hyperventilation,513-513.99,Both,1,1,9,respiratory,coral4, Respiratory abnormalities,278,408345
513.8,Disorders of diaphragm,513-513.99,Both,1,1,9,respiratory,coral4, Respiratory abnormalities,154,408345
514,Abnormal findings examination of lungs,514-514.99,Both,1,1,9,respiratory,coral4, Abnormal findings examination of lungs,2477,406457
514.1,Abnormal results of function study of pulmonary system,514-514.99,Both,0,1,9,respiratory,coral4, Abnormal findings examination of lungs,29,406457
516,Abnormal sputum,516-516.99,Both,1,0,9,respiratory,coral4, Abnormal sputum,2180,406779
516.1,Hemoptysis,516-516.99,Both,1,1,9,respiratory,coral4, Abnormal sputum,2086,406779
519,"Other diseases of respiratory system, not elsewhere classified",519-519.99,Both,1,0,9,respiratory,coral4,tracheostomy complications,9566,399393
519.2,Respiratory complications,519-519.99,Both,1,1,9,respiratory,coral4,tracheostomy complications,329,399393
519.8,"Other diseases of respiratory system, NEC",519-519.99,Both,1,1,9,respiratory,coral4,tracheostomy complications,8946,399393
519.9,Symptoms involving respiratory system and other chest symptoms,519-519.99,Both,1,1,9,respiratory,coral4,tracheostomy complications,308,399393
520,Disorders of tooth development,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,2449,398134
520.1,Hereditary disturbances in tooth structure,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,53,398134
520.2,Disturbances in tooth eruption,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,2364,398134
521,Diseases of hard tissues of teeth,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,3091,398134
521.1,Dental caries,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,3051,398134
521.2,"Dental abrasion, erosion and attrition",520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,6,398134
521.4,Tooth complications likely association with other diseases,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,21,398134
522,Diseases of pulp and periapical tissues,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,1795,398134
522.1,Pulpitis and necrosis of tooth pulp,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,46,398134
522.5,Periapical abscess,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,1177,398134
523,Gingival and periodontal diseases,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,1742,398134
523.1,Gingivitis,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,114,398134
523.3,Periodontitis (acute or chronic),520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,1222,398134
523.31,Acute periodontitis,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,668,398134
523.32,Chronic periodontitis,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,561,398134
524,"Dentofacial anomalies, including malocclusion",520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,345,398134
524.3,Anomalies of tooth position/malocclusion,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,305,398134
525,Other diseases of the teeth and supporting structures,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,2689,398134
525.1,Loss of teeth or edentulism,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,1,398134
525.2,Atrophy of edentulous alveolar ridge,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,73,398134
526,Diseases of the jaws,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,960,398134
526.1,Cysts of the jaws,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,329,398134
526.3,Anomalies of jaw size/symmetry,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,61,398134
526.4,Temporomandibular joint disorders,520-526.99,Both,1,0,10,digestive,chartreuse4, Disorders of teeth and jaw,241,398134
526.41,"Temporomandibular joint disorder, unspecified",520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,234,398134
526.5,Inflammatory conditions of jaw,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,110,398134
526.9,Jaw disease NOS,520-526.99,Both,1,1,10,digestive,chartreuse4, Disorders of teeth and jaw,234,398134
527,Diseases of the salivary glands,527-529.99,Both,1,0,10,digestive,chartreuse4, Diseases of mouth; excluding dental,710,403322
527.1,Hypertrophy of salivary gland,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,84,403322
527.2,Sialoadenitis,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,366,403322
527.7,Disturbance of salivary secretion,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,63,403322
527.8,Other specified diseases of the salivary glands,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,120,403322
528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",527-529.99,Both,1,0,10,digestive,chartreuse4, Diseases of mouth; excluding dental,3938,403322
528.1,Stomatitis and mucositis,527-529.99,Both,1,0,10,digestive,chartreuse4, Diseases of mouth; excluding dental,471,403322
528.11,Stomatitis and mucositis (ulcerative),527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,391,403322
528.12,Oral aphthae,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,85,403322
528.3,Cellulitis and abscess of oral soft tissues,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,181,403322
528.4,Cysts of oral soft tissues,527-529.99,Both,1,0,10,digestive,chartreuse4, Diseases of mouth; excluding dental,125,403322
528.41,Cyst of the salivary gland,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,94,403322
528.5,Diseases of lips,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,684,403322
528.6,Leukoplakia of oral mucosa,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,308,403322
528.7,Sialolithiasis,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,314,403322
529,Diseases and other conditions of the tongue,527-529.99,Both,1,0,10,digestive,chartreuse4, Diseases of mouth; excluding dental,1235,403322
529.1,Glossitis,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,299,403322
529.6,Glossodynia,527-529.99,Both,1,1,10,digestive,chartreuse4, Diseases of mouth; excluding dental,24,403322
530,Diseases of esophagus,"530-530.99, 532-532.99",Both,1,0,10,digestive,chartreuse4, esophageal disorders,34554,369258
530.1,"Esophagitis, GERD and related diseases","530-530.99, 532-532.99",Both,1,0,10,digestive,chartreuse4, esophageal disorders,32112,369258
530.11,GERD,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,14223,369258
530.12,Ulcer of esophagus,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,5247,369258
530.14,Reflux esophagitis,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,10551,369258
530.2,Esophageal bleeding (varices/hemorrhage),"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,1684,369258
530.3,Stricture and stenosis of esophagus,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,1874,369258
530.5,Disorders of esophageal motility,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,639,369258
530.6,"Diverticulum of esophagus, acquired","530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,153,369258
530.7,Gastroesophageal laceration-hemorrhage syndrome,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,345,369258
530.9,Heartburn,"530-530.99, 532-532.99",Both,0,1,10,digestive,chartreuse4, esophageal disorders,2100,369258
531,Peptic ulcer (excl. esophageal),531-531.99,Both,1,0,10,digestive,chartreuse4, gastro ulcer,7472,401487
531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,Both,1,1,10,digestive,chartreuse4, gastro ulcer,638,401487
531.2,Gastric ulcer,531-531.99,Both,1,1,10,digestive,chartreuse4, gastro ulcer,4121,401487
531.3,Duodenal ulcer,531-531.99,Both,1,1,10,digestive,chartreuse4, gastro ulcer,3016,401487
531.4,"Peptic ulcer, site unspecified",531-531.99,Both,1,1,10,digestive,chartreuse4, gastro ulcer,428,401487
531.5,Gastrojejunal ulcer,531-531.99,Both,1,1,10,digestive,chartreuse4, gastro ulcer,42,401487
532,Dysphagia,"530-530.99, 532-532.99",Both,1,1,10,digestive,chartreuse4, esophageal disorders,6487,369258
535,Gastritis and duodenitis,535-537.99,Both,1,0,10,digestive,chartreuse4, disorders of stomach,28949,378108
535.1,Acute gastritis,535-537.99,Both,1,1,10,digestive,chartreuse4, disorders of stomach,1186,378108
535.2,Atrophic gastritis,535-537.99,Both,1,1,10,digestive,chartreuse4, disorders of stomach,370,378108
535.6,Duodenitis,535-537.99,Both,1,1,10,digestive,chartreuse4, disorders of stomach,7655,378108
535.8,Other specified gastritis,535-537.99,Both,1,1,10,digestive,chartreuse4, disorders of stomach,8153,378108
535.9,"Gastritis and duodenitis, NOS",535-537.99,Both,1,1,10,digestive,chartreuse4, disorders of stomach,120,378108
536,Disorders of function of stomach,535-537.99,Both,1,0,10,digestive,chartreuse4, disorders of stomach,268,378108
536.8,Dyspepsia and other specified disorders of function of stomach,535-537.99,Both,1,1,10,digestive,chartreuse4, disorders of stomach,259,378108
537,Other disorders of stomach and duodenum,535-537.99,Both,1,0,10,digestive,chartreuse4, disorders of stomach,3413,378108
539,Bariatric surgery,539-539.99,Both,1,1,10,digestive,chartreuse4, bariatric surgery,41,408918
540,Appendiceal conditions,540-540.99,Both,1,0,10,digestive,chartreuse4, appendicitis and other appendiceal conditions,3416,405543
540.1,Appendicitis,540-540.99,Both,1,0,10,digestive,chartreuse4, appendicitis and other appendiceal conditions,3224,405543
540.11,Acute appendicitis,540-540.99,Both,1,1,10,digestive,chartreuse4, appendicitis and other appendiceal conditions,2612,405543
550,Abdominal hernia,550-550.99,Both,1,0,10,digestive,chartreuse4, Abdominal hernia,47346,361613
550.1,Inguinal hernia,550-550.99,Both,1,1,10,digestive,chartreuse4, Abdominal hernia,15996,361613
550.2,Diaphragmatic hernia,550-550.99,Both,1,1,10,digestive,chartreuse4, Abdominal hernia,27127,361613
550.3,Femoral hernia,550-550.99,Both,1,1,10,digestive,chartreuse4, Abdominal hernia,651,361613
550.4,Umbilical hernia,550-550.99,Both,1,1,10,digestive,chartreuse4, Abdominal hernia,3727,361613
550.5,Ventral hernia,550-550.99,Both,1,1,10,digestive,chartreuse4, Abdominal hernia,3450,361613
555,Inflammatory bowel disease and other gastroenteritis and colitis,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,4531,334757
555.1,Regional enteritis,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,1745,334757
555.2,Ulcerative colitis,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,3197,334757
555.21,Ulcerative colitis (chronic),555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,539,334757
556,Ulceration of the lower GI tract,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,1064,334757
556.1,Ulceration of intestine,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,675,334757
557,Intestinal malabsorption (non-celiac),555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,301,334757
557.1,Celiac disease,555-564.99,Both,0,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,1855,334757
558,Noninfectious gastroenteritis,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,15754,334757
559,Ileostomy status,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,1660,334757
560,Intestinal obstruction without mention of hernia,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,4019,334757
560.1,Paralytic ileus,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,524,334757
560.2,Impaction of intestine,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,268,334757
560.3,Peritoneal or intestinal adhesions,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,832,334757
560.4,Other intestinal obstruction,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,3371,334757
561,Symptoms involving digestive system,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,15982,334757
561.1,Diarrhea,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,465,334757
561.2,Flatulence,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,1689,334757
562,Diverticulosis and diverticulitis,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,27314,334757
562.1,Diverticulosis,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,27271,334757
563,Constipation,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,10441,334757
564,Functional digestive disorders,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,22138,334757
564.1,Irritable Bowel Syndrome,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,5548,334757
564.8,Abnormal findings on exam of gastrointestinal tract/ abdominal area,555-564.99,Both,1,0,10,digestive,chartreuse4, noninfective gastrointestinal disorders,1650,334757
564.9,Personal history of diseases of digestive system,555-564.99,Both,1,1,10,digestive,chartreuse4, noninfective gastrointestinal disorders,15392,334757
565,Anal and rectal conditions,565-569.99,Both,1,0,10,digestive,chartreuse4, Other gastrointestinal,14997,387281
565.1,Anal and rectal polyp,565-569.99,Both,1,1,10,digestive,chartreuse4, Other gastrointestinal,7408,387281
567,Peritonitis and retroperitoneal infections,565-569.99,Both,1,1,10,digestive,chartreuse4, Other gastrointestinal,933,387281
568,Other disorders of peritoneum,565-569.99,Both,1,0,10,digestive,chartreuse4, Other gastrointestinal,3317,387281
568.1,Peritoneal adhesions (postoperative) (postinfection),565-569.99,Both,1,1,10,digestive,chartreuse4, Other gastrointestinal,3110,387281
569,Other disorders of intestine,565-569.99,Both,1,0,10,digestive,chartreuse4, Other gastrointestinal,4232,387281
569.1,Toxic gastroenteritis and colitis,565-569.99,Both,1,1,10,digestive,chartreuse4, Other gastrointestinal,149,387281
569.2,Gastrointestinal complications,565-569.99,Both,1,1,10,digestive,chartreuse4, Other gastrointestinal,487,387281
571,Chronic liver disease and cirrhosis,570-573.99,Both,1,0,10,digestive,chartreuse4, Liver disease,2989,399978
571.5,Other chronic nonalcoholic liver disease,570-573.99,Both,1,0,10,digestive,chartreuse4, Liver disease,1703,399978
571.51,Cirrhosis of liver without mention of alcohol,570-573.99,Both,1,1,10,digestive,chartreuse4, Liver disease,115,399978
571.6,Primary biliary cirrhosis,570-573.99,Both,1,1,10,digestive,chartreuse4, Liver disease,257,399978
571.8,Liver abscess and sequelae of chronic liver disease,570-573.99,Both,1,0,10,digestive,chartreuse4, Liver disease,988,399978
571.81,Portal hypertension,570-573.99,Both,1,1,10,digestive,chartreuse4, Liver disease,532,399978
572,Ascites (non malignant),570-573.99,Both,1,1,10,digestive,chartreuse4, Liver disease,1550,399978
573,Other disorders of liver,570-573.99,Both,1,0,10,digestive,chartreuse4, Liver disease,1505,399978
573.1,Chronic passive congestion of liver,570-573.99,Both,1,1,10,digestive,chartreuse4, Liver disease,16,399978
573.2,Liver replaced by transplant,570-573.99,Both,0,1,10,digestive,chartreuse4, Liver disease,96,399978
573.3,Hepatomegaly,570-573.99,Both,0,1,10,digestive,chartreuse4, Liver disease,297,399978
573.4,Acute and subacute necrosis of liver,570-573.99,Both,0,1,10,digestive,chartreuse4, Liver disease,2,399978
573.5,Jaundice (not of newborn),570-573.99,Both,0,1,10,digestive,chartreuse4, Liver disease,897,399978
573.7,Abnormal results of function study of liver,570-573.99,Both,0,1,10,digestive,chartreuse4, Liver disease,3479,399978
573.9,Abnormal serum enzyme levels,570-573.99,Both,0,1,10,digestive,chartreuse4, Liver disease,209,399978
574,Cholelithiasis and cholecystitis,574-576.99,Both,1,0,10,digestive,chartreuse4, Biliary tract disease,16232,391290
574.1,Cholelithiasis,574-576.99,Both,1,0,10,digestive,chartreuse4, Biliary tract disease,13785,391290
574.11,Cholelithiasis with acute cholecystitis,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,1514,391290
574.12,Cholelithiasis with other cholecystitis,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,5473,391290
574.2,Calculus of bile duct,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,2634,391290
574.3,Cholecystitis without cholelithiasis,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,2766,391290
575,Other biliary tract disease,574-576.99,Both,1,0,10,digestive,chartreuse4, Biliary tract disease,3908,391290
575.1,Cholangitis,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,495,391290
575.2,Obstruction of bile duct,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,779,391290
575.6,Cholesterolosis of gallbladder,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,458,391290
575.7,Other disorders of gallbladder,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,1414,391290
575.8,Other disorders of biliary tract,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,1041,391290
575.9,Nonspecific abnormal findings on radiological and other examination of biliary tract,574-576.99,Both,1,1,10,digestive,chartreuse4, Biliary tract disease,349,391290
577,Diseases of pancreas,577-577.99,Both,1,0,10,digestive,chartreuse4, pancreatic disorders,2706,406253
577.1,Acute pancreatitis,577-577.99,Both,1,1,10,digestive,chartreuse4, pancreatic disorders,1999,406253
577.2,Chronic pancreatitis,577-577.99,Both,1,1,10,digestive,chartreuse4, pancreatic disorders,516,406253
577.3,Cyst and pseudocyst of pancreas,577-577.99,Both,1,1,10,digestive,chartreuse4, pancreatic disorders,365,406253
578,Gastrointestinal hemorrhage,578-579.99,Both,1,0,10,digestive,chartreuse4, Other diseases of digestive system,21206,385087
578.1,Hematemesis,578-579.99,Both,1,1,10,digestive,chartreuse4, Other diseases of digestive system,1965,385087
578.2,Blood in stool,578-579.99,Both,1,1,10,digestive,chartreuse4, Other diseases of digestive system,2639,385087
578.8,Hemorrhage of rectum and anus,578-579.99,Both,1,1,10,digestive,chartreuse4, Other diseases of digestive system,13224,385087
